"","Date","Bottom_Heating","Sidewall_Bottom_Heating","Bottom_Interfacial","Foam_Bottom_Interfacial","Sidewall_Interfacial"
"81","2020-07-20",NA,NA,0.404423380726698,0.429699842022117,0.303317535545024
"82","2020-07-21",NA,NA,0.478123590437528,0.536761389264772,0.460081190798376
"83","2020-07-22",NA,NA,0.422570978719082,0.495708263497384,0.438823708669816
"84","2020-07-23",NA,NA,0.375024935168562,0.458807101536006,0.390983443048075
"85","2020-07-24",NA,NA,0.0387596899224806,0.348837209302326,0.232558139534884
"86","2020-07-25",NA,NA,0.067374094660603,0.404244567963618,0.336870473303015
"87","2020-07-26",NA,NA,0.158785755983654,0.298890834792761,0.242848803269119
"88","2020-07-27",NA,NA,0.347544363448936,0.441793682350342,0.382887858036963
"89","2020-07-28",NA,NA,0.374306530312145,0.443820600227258,0.39569547490141
"90","2020-07-29",NA,NA,0.42943178842629,0.492275464781356,0.424194815396701
"91","2020-07-30",NA,NA,0.395951507062618,0.469358247136025,0.413747080413747
"92","2020-07-31",NA,NA,0.288223373114164,0.510395556556331,0.432335059671245
"93","2020-08-01",NA,NA,0.377853581737077,0.451325111519286,0.41284002449051
"94","2020-08-02",NA,NA,0.360790555776628,0.502277048238051,0.459831100499624
"95","2020-08-03",NA,NA,0.378025083907437,0.406288641582759,0.395689807454513
"96","2020-08-04",NA,NA,NA,NA,NA
"97","2020-08-05",NA,NA,0.26807295099978,0.42188529993408,0.34717644473742
"98","2020-08-06",NA,NA,0.098661028893587,0.408738548273432,0.380549682875264
"99","2020-08-07",NA,NA,0.164235548352242,0.423554835224203,0.363047001620745
"100","2020-08-08",NA,NA,0.0342759211653813,0.299914310197087,0.291345329905741
"101","2020-08-09",NA,NA,0.00708654442377536,0.39684648773142,0.361413765612543
"102","2020-08-10",NA,NA,0.344198935316853,0.460876540509006,0.396703857653322
"103","2020-08-11",NA,NA,0.379351223192154,0.478499838344649,0.46556741028128
"104","2020-08-12",NA,NA,0.384951881014873,0.433556916496549,0.443277923592884
"105","2020-08-13",NA,NA,0.281286143881564,0.499653018736988,0.453388850335415
"106","2020-08-14",NA,NA,0.459770114942529,0.505350772889417,0.46175188267935
"107","2020-08-15",NA,NA,0.443450717346749,0.473262530277623,0.421091857648593
"108","2020-08-16",NA,NA,0.503648590642438,0.568512424285782,0.49601755139028
